2026-05-15 19:31:21.065 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-05-15 19:32:04.056 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-15 19:32:04.056 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-15 19:32:04.058 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-05-15 19:32:04.114 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 53ms - Status: 200
2026-05-15 19:32:04.333 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 214ms - Status: 400
2026-05-15 19:33:30.018 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 3ms - Status: 400
2026-05-15 19:33:33.035 [http-nio-8080-exec-7] WARN  c.h.m.controller.AuthController - Login failed - username: recep1, IP: 0:0:0:0:0:0:0:1, reason: user not found
2026-05-15 19:33:33.043 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 43ms - Status: 401
2026-05-15 19:33:35.449 [http-nio-8080-exec-5] WARN  c.h.m.controller.AuthController - Login failed - username: recep123, IP: 0:0:0:0:0:0:0:1, reason: user not found
2026-05-15 19:33:35.451 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 401
2026-05-15 19:33:42.804 [http-nio-8080-exec-8] WARN  c.h.m.controller.AuthController - Login failed - username: recep123, IP: 0:0:0:0:0:0:0:1, reason: user not found
2026-05-15 19:33:42.806 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 13ms - Status: 401
2026-05-15 19:33:56.415 [http-nio-8080-exec-9] WARN  c.h.m.controller.AuthController - Login failed - username: recep001, IP: 0:0:0:0:0:0:0:1, reason: user not found
2026-05-15 19:33:56.416 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 401
2026-05-15 19:34:17.634 [http-nio-8080-exec-6] INFO  c.h.m.controller.AuthController - Login success - username: letan01, IP: 0:0:0:0:0:0:0:1
2026-05-15 19:34:17.717 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [POST] /api/v1/auth/login - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 401ms - Status: 200
2026-05-15 19:34:17.752 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 2ms - Status: 200
2026-05-15 19:34:17.756 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:17.758 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:17.758 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:17.760 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:17.872 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 110ms - Status: 200
2026-05-15 19:34:17.872 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 110ms - Status: 200
2026-05-15 19:34:17.872 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 117ms - Status: 200
2026-05-15 19:34:17.887 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 124ms - Status: 200
2026-05-15 19:34:17.894 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 20ms - Status: 200
2026-05-15 19:34:17.894 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 20ms - Status: 200
2026-05-15 19:34:17.894 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 135ms - Status: 200
2026-05-15 19:34:17.894 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 20ms - Status: 200
2026-05-15 19:34:17.916 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 27ms - Status: 200
2026-05-15 19:34:17.924 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 26ms - Status: 200
2026-05-15 19:34:20.962 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:20.962 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:20.963 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:20.963 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [OPTIONS] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 1ms - Status: 200
2026-05-15 19:34:20.975 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 14ms - Status: 200
2026-05-15 19:34:20.985 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 18ms - Status: 200
2026-05-15 19:34:20.988 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 21ms - Status: 200
2026-05-15 19:34:20.989 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 13ms - Status: 200
2026-05-15 19:34:21.004 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 17ms - Status: 200
2026-05-15 19:34:21.010 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/rooms - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 21ms - Status: 200
2026-05-15 19:34:51.187 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 200
2026-05-15 19:35:21.178 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 19:35:51.175 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 19:36:21.176 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 19:36:51.182 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 19:37:21.178 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 19:37:51.178 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 19:38:52.172 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 7ms - Status: 200
2026-05-15 19:39:53.177 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 19:40:54.177 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 19:41:55.186 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 19:42:56.176 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 200
2026-05-15 19:43:57.182 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 19:44:58.181 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 19:45:59.200 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 26ms - Status: 200
2026-05-15 19:46:59.190 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 19:47:59.201 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 21ms - Status: 200
2026-05-15 19:48:59.188 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 15ms - Status: 200
2026-05-15 19:49:59.189 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 16ms - Status: 200
2026-05-15 19:50:59.178 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 12ms - Status: 200
2026-05-15 19:51:59.183 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 14ms - Status: 200
2026-05-15 19:52:26.189 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 16ms - Status: 200
2026-05-15 19:52:51.187 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 19:53:21.179 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 5ms - Status: 200
2026-05-15 19:53:59.190 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 18ms - Status: 200
2026-05-15 19:54:59.207 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 23ms - Status: 200
2026-05-15 19:55:59.192 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 16ms - Status: 200
2026-05-15 19:56:59.200 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 21ms - Status: 200
2026-05-15 19:57:59.191 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 17ms - Status: 200
2026-05-15 19:58:59.192 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 16ms - Status: 200
2026-05-15 19:59:59.194 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 14ms - Status: 200
2026-05-15 20:00:22.164 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 16ms - Status: 200
2026-05-15 20:00:51.184 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:01:21.172 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 20:01:59.174 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 20:02:59.173 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:03:59.185 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 200
2026-05-15 20:04:59.177 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 20:05:59.177 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 20:06:59.170 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 7ms - Status: 200
2026-05-15 20:07:59.178 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:08:59.183 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:09:59.175 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 20:10:59.173 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:11:59.175 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 7ms - Status: 200
2026-05-15 20:12:59.176 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:13:59.182 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 10ms - Status: 200
2026-05-15 20:14:59.180 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 15ms - Status: 200
2026-05-15 20:15:59.180 [http-nio-8080-exec-2] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 12ms - Status: 200
2026-05-15 20:16:59.182 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 20:17:59.192 [http-nio-8080-exec-4] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 13ms - Status: 200
2026-05-15 20:18:59.195 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 18ms - Status: 200
2026-05-15 20:19:59.194 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 17ms - Status: 200
2026-05-15 20:20:59.193 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 18ms - Status: 200
2026-05-15 20:21:59.195 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 19ms - Status: 200
2026-05-15 20:22:59.180 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 13ms - Status: 200
2026-05-15 20:23:59.196 [http-nio-8080-exec-9] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 19ms - Status: 200
2026-05-15 20:24:59.179 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 13ms - Status: 200
2026-05-15 20:25:59.181 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 12ms - Status: 200
2026-05-15 20:26:59.182 [http-nio-8080-exec-1] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 7ms - Status: 200
2026-05-15 20:27:59.173 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:28:59.175 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 200
2026-05-15 20:29:59.174 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:30:59.176 [http-nio-8080-exec-8] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 11ms - Status: 200
2026-05-15 20:31:59.374 [http-nio-8080-exec-6] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 9ms - Status: 200
2026-05-15 20:32:47.107 [http-nio-8080-exec-10] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 15ms - Status: 200
2026-05-15 20:32:51.170 [http-nio-8080-exec-5] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 8ms - Status: 200
2026-05-15 20:33:21.171 [http-nio-8080-exec-3] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 7ms - Status: 200
2026-05-15 20:33:59.178 [http-nio-8080-exec-7] INFO  c.h.m.config.RequestLoggingFilter - [GET] /api/v1/bookings - IP: 0:0:0:0:0:0:0:1 - User: anonymous - 13ms - Status: 200
